Signup_Date,Name,Email,Phone,Product_Type,Plan_Tier,Delivery_Method,Account_Type,Linked_Accounts_Count,Voice_Accent_Anomaly_Flag,Completion_Time,IP_Address,Fraud_Risk_Flag
2025-02-05,Frank Matthews,morrowjoseph@example.com,(02).7330.6639,NBN Fixed Internet,NBN Standard,eSIM via App,New Unrecognized Account,2,None,504,213.210.200.101,0
2026-01-28,William Martin,mcclurelaura@example.org,0372256899,NBN Fixed Internet,NBN Standard,eSIM via App,New Unrecognized Account,1,None,129,63.216.72.151,0
2024-10-03,Regina Robinson,raymond09@example.com,8845.0207,5G Mobile Plan,Premium,Physical SIM,Existing Account,1,None,565,80.171.200.51,0
2026-06-14,Andrea Hudson,mirandakristin@example.org,+61 3 5752 9912,5G Mobile Plan,Essential,eSIM via App,New Unrecognized Account,1,None,449,108.112.143.103,0
2025-07-06,Brandon David,jbarnes@example.org,02.4033.6434,5G Mobile Plan,Essential,Physical SIM,Existing Account,1,None,125,63.31.61.35,0
2026-04-21,Brian Tapia,burkechristina@example.org,(02).8048.0232,5G Mobile Plan,Premium,eSIM via App,Existing Account,0,None,162,122.206.171.125,0
2026-02-12,Stephanie Mitchell,veronica37@example.net,(07)-7850-1196,5G Mobile Plan,Essential,Physical SIM,New Unrecognized Account,0,None,432,166.220.226.236,0
2026-05-24,Michael James,arodriguez@example.net,0467-814-330,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,1,None,56,23.211.161.48,0
2025-08-05,Jennifer Smith,linda51@example.org,03 4220 7797,5G Mobile Plan,Premium,eSIM via App,New Unrecognized Account,6,Yes - Voice Modulation Detected,16,192.168.1.1,1
2026-02-11,Seth Evans II,billsmith@example.com,(07)-3758-1199,5G Mobile Plan,Basic,eSIM via App,Existing Account,2,None,296,130.63.133.243,0
2025-04-22,Shannon Burns,dominiquebartlett@example.com,4906-2406,NBN Fixed Internet,NBN Standard,Physical SIM,New Unrecognized Account,2,None,493,193.54.11.85,0
2024-04-07,Matthew Young,kevin80@example.com,+61-3-5265-2862,5G Mobile Plan,Essential,Physical SIM,Existing Account,2,None,156,86.243.56.96,0
2026-03-17,Pam Simpson,hlam@example.net,8201-1655,5G Mobile Plan,Essential,eSIM via App,Existing Account,2,None,508,31.128.130.111,0
2026-08-21,Danielle Watkins,mhopkins@example.net,02.1292.4065,5G Mobile Plan,Premium,Physical SIM,Existing Account,0,None,106,144.180.220.82,0
2025-06-08,Ronald Crane,danaclark@example.org,0410.677.066,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,0,None,321,128.1.86.16,0
2026-01-15,Shelley Young,lindajones@example.com,0472.411.982,5G Mobile Plan,Essential,eSIM via App,New Unrecognized Account,2,None,541,218.167.176.70,0
2024-07-06,Gregory Jones,mayjessica@example.com,(08).6672.1677,5G Mobile Plan,Essential,Physical SIM,New Unrecognized Account,2,None,104,103.246.151.239,0
2024-01-11,Chloe Wilson,angela49@example.org,07 1960 7579,5G Mobile Plan,Basic,Physical SIM,Existing Account,2,None,55,203.207.38.165,0
2025-09-19,Sara Robertson,rsmith@example.com,07.3815.0940,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,1,None,242,176.11.55.169,0
2026-01-04,Kimberly Morgan,debrawashington@example.com,(07) 1923 2636,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,2,None,342,156.39.33.234,0
2024-11-18,Jill Jones,millerhannah@example.com,(08) 3401 7370,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,0,None,302,220.8.151.79,0
2026-02-15,William Rivera,miguel87@example.net,0275736371,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,0,None,389,23.129.12.59,0
2026-04-22,Jennifer Mercer,bridgesstephanie@example.net,13368504,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,0,None,481,217.188.195.109,0
2024-10-13,Janet Farrell,lisamiller@example.com,07-6831-6248,5G Mobile Plan,Premium,Physical SIM,Existing Account,0,None,346,93.62.45.137,0
2025-09-08,Dr. Cheryl Moore,gary76@example.com,(03) 5163 9047,NBN Fixed Internet,NBN Standard,Physical SIM,New Unrecognized Account,1,None,116,174.118.204.251,0
2024-06-07,Sherry Olson,tmatthews@example.net,+61.3.8143.2846,5G Mobile Plan,Premium,Physical SIM,New Unrecognized Account,2,None,327,118.25.160.245,0
2024-03-22,John Morris,williamsemily@example.net,(02).0390.4223,NBN Fixed Internet,NBN Standard,eSIM via App,New Unrecognized Account,2,None,243,213.171.237.140,0
2026-02-05,Debra Figueroa,michelle53@example.com,+61 443 528 018,5G Mobile Plan,Basic,eSIM via App,Existing Account,2,None,426,68.67.41.241,0
2026-05-14,Lisa Hernandez,jessica15@example.org,+61-2-5770-8347,5G Mobile Plan,Premium,Physical SIM,Existing Account,1,None,124,206.30.245.167,0
2025-04-15,Donna Franco,manningashley@example.net,3888-9143,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,0,None,233,121.24.47.171,0
2025-12-24,Christian Baker,berrymatthew@example.net,+61.2.1619.1034,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,1,None,325,23.48.119.195,0
2026-08-15,Alex Anderson,anthonyschaefer@example.org,(03) 0614 1842,5G Mobile Plan,Essential,eSIM via App,Existing Account,0,None,135,170.240.185.210,0
2026-06-25,Sherry Hahn,mckenzie34@example.net,+61.483.439.152,5G Mobile Plan,Premium,eSIM via App,Existing Account,0,None,470,44.29.113.238,0
2024-02-05,Brian Clark,harrisgabriela@example.net,+61.7.2052.0527,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,2,None,343,67.226.69.29,0
2024-08-22,Matthew Osborn,franksanchez@example.com,+61-8-5655-4462,5G Mobile Plan,Essential,Physical SIM,Existing Account,0,None,79,49.199.79.132,0
2024-11-16,Joseph Rhodes,conleymegan@example.org,+61 476 106 454,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,1,None,317,144.227.39.108,0
2024-10-30,Valerie Liu,dwilliams@example.org,7676-7967,5G Mobile Plan,Essential,Physical SIM,Existing Account,2,None,232,98.234.19.133,0
2024-06-28,Vanessa Davis,briantaylor@example.net,+61.492.748.387,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,1,None,429,71.183.11.61,0
2024-02-07,Jessica Weber,geraldwilliams@example.com,07608319,5G Mobile Plan,Basic,eSIM via App,New Unrecognized Account,0,None,261,29.101.206.11,0
2026-07-22,Mark Jones,williamskristine@example.com,+61710453852,5G Mobile Plan,Premium,eSIM via App,New Unrecognized Account,0,None,77,28.212.253.190,0
2024-04-10,Russell Graham,ericacosta@example.net,58813454,5G Mobile Plan,Essential,Physical SIM,Existing Account,0,None,384,199.175.115.79,0
2025-05-23,Amy Elliott,linda54@example.org,0499 887 051,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,2,None,224,18.67.2.66,0
2025-07-17,Sally Lucas,mitchellsmith@example.com,9862 9152,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,0,None,540,195.129.68.191,0
2026-05-19,Alexis Nguyen,carrsandra@example.com,03 1870 8251,5G Mobile Plan,Essential,Physical SIM,New Unrecognized Account,0,None,361,108.203.130.189,0
2026-04-07,Dennis Lopez,vwatson@example.com,54711271,NBN Fixed Internet,NBN Standard,Physical SIM,New Unrecognized Account,0,None,359,168.29.62.83,0
2024-01-13,Chelsea White,pamela19@example.net,07 7136 4212,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,1,None,402,133.37.232.113,0
2026-04-15,Tiffany Parsons,paula17@example.net,(07) 2463 8725,5G Mobile Plan,Premium,eSIM via App,Existing Account,1,None,379,51.239.75.220,0
2025-07-02,Randy Thornton,daniel62@example.com,0495-223-090,5G Mobile Plan,Essential,eSIM via App,Existing Account,2,None,146,47.153.104.94,0
2025-06-27,Gabrielle Li,aprilmorrow@example.net,6538.8794,5G Mobile Plan,Premium,eSIM via App,Existing Account,1,None,264,115.38.252.220,0
2024-11-15,Christine Torres,ronaldhill@example.org,(08) 1322 4221,5G Mobile Plan,Basic,Physical SIM,Existing Account,0,None,53,157.43.91.38,0
2024-03-18,Andrea Barrett,yvonne00@example.org,+61 404 946 827,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,0,None,480,188.119.251.41,0
2024-10-25,Sandra Freeman,guywatts@example.com,+61.2.3338.7455,5G Mobile Plan,Premium,eSIM via App,Existing Account,1,None,478,203.84.189.0,0
2024-05-28,Isaiah Lopez,djarvis@example.com,7311-9521,5G Mobile Plan,Premium,Physical SIM,Existing Account,2,None,86,67.6.97.228,0
2025-07-19,Phillip Wilson,ann87@example.org,0719418951,5G Mobile Plan,Essential,eSIM via App,Existing Account,0,None,251,184.5.198.223,0
2026-06-25,Matthew Johnson,johnsonjeremiah@example.org,0410-754-505,5G Mobile Plan,Essential,Physical SIM,Existing Account,1,None,184,222.216.216.204,0
2024-09-28,Vincent Leach,hicksjulia@example.net,+61794754461,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,0,None,92,136.243.22.186,0
2024-07-23,Lisa White,lynn00@example.com,02-1238-1647,5G Mobile Plan,Essential,Physical SIM,Existing Account,1,None,99,128.134.191.57,0
2024-04-14,Kathleen Hunt,megan69@example.com,08.4028.8923,5G Mobile Plan,Essential,Physical SIM,New Unrecognized Account,1,None,211,186.167.13.12,0
2025-11-08,Jennifer Snow,irobles@example.net,+61740395774,5G Mobile Plan,Basic,eSIM via App,Existing Account,0,None,389,222.96.109.78,0
2024-07-31,Robert Tucker,wyattcassidy@example.com,+61-460-530-369,5G Mobile Plan,Basic,eSIM via App,Existing Account,2,None,511,32.6.180.12,0
2026-07-16,Linda Spears,sarahmiller@example.net,(02)84724551,5G Mobile Plan,Premium,eSIM via App,Existing Account,2,None,222,94.24.11.79,0
2024-04-27,Angela Aguilar,john86@example.org,7356 5952,5G Mobile Plan,Essential,Physical SIM,Existing Account,1,None,579,163.83.77.58,0
2026-01-26,Danny Chase,thomaslarson@example.net,0460 636 863,5G Mobile Plan,Premium,Physical SIM,Existing Account,1,None,127,62.11.179.234,0
2024-08-22,Craig Smith,moyerclinton@example.net,+61.475.376.734,5G Mobile Plan,Premium,eSIM via App,Existing Account,0,None,147,216.26.210.220,0
2024-06-01,Steven Hodge,ngomez@example.com,0857847799,5G Mobile Plan,Premium,eSIM via App,New Unrecognized Account,6,None,10,192.168.1.1,1
2026-04-07,Sergio Love,dwright@example.com,(07) 2908 8882,5G Mobile Plan,Essential,eSIM via App,Existing Account,0,None,398,211.30.60.18,0
2025-02-22,Holly Wilcox,danalopez@example.com,+61-493-623-360,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,1,None,299,154.26.141.24,0
2026-05-23,Robert Compton,jasonbarker@example.net,07 2540 6238,5G Mobile Plan,Premium,eSIM via App,New Unrecognized Account,1,None,383,130.174.20.241,0
2025-01-23,Thomas Myers,yflores@example.com,0778958615,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,1,None,474,41.97.218.244,0
2026-08-20,Rebecca Pena DDS,sarahdavidson@example.com,0400 295 054,5G Mobile Plan,Essential,eSIM via App,New Unrecognized Account,7,Yes - Accent Mismatch Suspected,9,192.168.1.1,1
2024-04-23,Jordan Thompson,chutchinson@example.com,+61-424-724-101,5G Mobile Plan,Essential,eSIM via App,New Unrecognized Account,0,None,532,178.101.123.167,0
2024-08-12,Mr. Micheal Carter,hayesrobin@example.net,+61 7 5530 2509,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,2,None,211,88.70.157.201,0
2025-09-11,Katherine Woods,pperry@example.com,0337348526,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,0,None,188,182.58.68.134,0
2024-03-16,Robert Bailey,kreed@example.org,1969.6576,5G Mobile Plan,Essential,eSIM via App,New Unrecognized Account,2,None,498,91.91.43.141,0
2024-02-19,Virginia Simmons,ggolden@example.com,0734051703,NBN Fixed Internet,NBN Standard,eSIM via App,New Unrecognized Account,2,None,111,153.220.77.46,0
2026-08-17,Tammy Sherman,douglas97@example.net,+61.477.805.401,5G Mobile Plan,Basic,eSIM via App,New Unrecognized Account,0,None,134,190.36.52.223,0
2025-02-14,Michael Valentine,susanfrazier@example.net,(02)34797974,5G Mobile Plan,Essential,Physical SIM,Existing Account,1,None,294,57.209.14.161,0
2026-02-04,John Villa,matthewsemily@example.com,+61840288706,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,1,None,443,137.209.196.76,0
2026-01-07,Teresa Everett,zharper@example.com,(02)69079074,5G Mobile Plan,Essential,eSIM via App,New Unrecognized Account,0,None,600,168.157.175.247,0
2024-08-16,Jacob Hernandez,christopher06@example.org,(07)-7530-0547,5G Mobile Plan,Premium,Physical SIM,Existing Account,0,None,410,43.150.34.128,0
2025-10-05,Isabel Phillips,douglas03@example.org,+61 2 1858 2279,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,0,None,326,1.229.162.218,0
2026-06-16,Aaron Webb,kgarcia@example.net,+61.475.113.329,5G Mobile Plan,Essential,Physical SIM,Existing Account,1,None,342,50.182.223.180,0
2025-02-24,Sandra Mendez,jessicabates@example.com,(07)47944852,5G Mobile Plan,Essential,Physical SIM,New Unrecognized Account,1,None,528,188.210.97.103,0
2025-07-27,Rebecca Perry,sullivanstephen@example.org,0424-1230,NBN Fixed Internet,NBN Standard,eSIM via App,New Unrecognized Account,1,None,495,165.63.100.236,0
2025-11-17,Nicholas Hall,fstevens@example.org,95205515,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,0,None,89,163.53.117.47,0
2025-09-14,Anthony Martin,klittle@example.com,(02) 8990 0524,5G Mobile Plan,Essential,eSIM via App,New Unrecognized Account,1,None,515,25.74.168.177,0
2024-10-10,Miranda Smith,whitejeffrey@example.net,0424.498.717,NBN Fixed Internet,NBN Standard,Physical SIM,New Unrecognized Account,0,None,269,11.76.71.177,0
2025-02-24,Alyssa Robertson,grantbetty@example.org,(02)-5802-6832,5G Mobile Plan,Premium,eSIM via App,Existing Account,2,None,303,48.182.248.184,0
2026-03-12,Christina Watkins,shari29@example.com,03 2412 5574,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,0,None,486,39.129.169.203,0
2026-06-25,Christopher Cannon,johnbrady@example.org,0201803071,5G Mobile Plan,Essential,eSIM via App,New Unrecognized Account,1,None,383,110.225.130.198,0
2025-11-12,Tanya Mcbride,jessica78@example.net,(03) 2939 1133,5G Mobile Plan,Essential,eSIM via App,New Unrecognized Account,6,Yes - Accent Mismatch Suspected,21,192.168.1.1,1
2025-01-06,Jane White,nathanschmitt@example.com,0406 250 445,NBN Fixed Internet,NBN Standard,Physical SIM,New Unrecognized Account,2,None,535,69.214.99.131,0
2026-05-22,Jeanne Jarvis,bradley20@example.com,(08).1976.8221,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,1,None,214,181.22.42.188,0
2026-04-05,Tiffany Ward,richardjarvis@example.net,02 0075 2553,5G Mobile Plan,Basic,eSIM via App,New Unrecognized Account,1,None,419,19.5.200.32,0
2024-10-26,Alexander Gutierrez,joshuavargas@example.com,08-0634-6574,5G Mobile Plan,Premium,Physical SIM,New Unrecognized Account,2,None,196,112.74.51.107,0
2025-12-01,Joseph Johnson,jonescameron@example.net,+61.3.8411.9508,5G Mobile Plan,Essential,eSIM via App,Existing Account,1,None,278,94.130.199.30,0
2025-10-23,Keith Buckley,ashleynelson@example.net,07.4872.5826,5G Mobile Plan,Basic,Physical SIM,Existing Account,1,None,170,164.183.95.193,0
2026-04-26,Kyle Chase,rconley@example.org,+61.459.672.158,5G Mobile Plan,Essential,Physical SIM,Existing Account,1,None,128,167.7.224.249,0
2026-02-08,Savannah Sanders,dhowell@example.com,82839469,5G Mobile Plan,Essential,Physical SIM,Existing Account,1,None,473,190.36.183.246,0
2024-07-12,John Taylor,sean58@example.org,(03) 8580 8097,5G Mobile Plan,Premium,Physical SIM,Existing Account,0,None,451,194.52.207.11,0
2024-04-26,Mary Sosa,randallcummings@example.net,0454.688.290,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,0,None,286,82.4.57.111,0
2025-05-23,Michelle Wilson,michael80@example.org,0475 732 809,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,1,None,328,35.46.61.152,0
2024-12-16,James Charles,zwright@example.com,0390308838,5G Mobile Plan,Essential,Physical SIM,Existing Account,0,None,452,194.41.28.59,0
2025-04-22,Brandy Higgins,sharonferrell@example.org,+61.3.8021.1181,5G Mobile Plan,Essential,eSIM via App,Existing Account,0,None,505,212.189.209.49,0
2025-07-15,Matthew Warren,bradshawtyler@example.org,7520.8919,5G Mobile Plan,Premium,Physical SIM,Existing Account,2,None,215,59.157.119.119,0
2026-04-17,Pamela Jones,robert68@example.net,+61-432-784-689,5G Mobile Plan,Essential,Physical SIM,Existing Account,0,None,156,109.60.230.70,0
2026-06-20,Adam Andersen,oenglish@example.com,02.9601.3689,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,1,None,307,131.164.138.204,0
2026-02-18,Taylor Brown,awright@example.org,+61-464-134-480,NBN Fixed Internet,NBN Standard,Physical SIM,New Unrecognized Account,2,None,197,189.96.215.136,0
2024-06-27,Kyle Moore,jonesjoel@example.com,(08).8090.0272,5G Mobile Plan,Premium,Physical SIM,New Unrecognized Account,2,None,565,81.128.12.26,0
2025-02-01,Lisa Buck,kathryn16@example.com,07 4410 1985,5G Mobile Plan,Premium,Physical SIM,Existing Account,1,None,53,108.247.242.129,0
2024-05-26,Nicholas Wilson,dthornton@example.org,0485.8738,5G Mobile Plan,Premium,eSIM via App,Existing Account,2,None,114,113.230.92.184,0
2024-03-05,Pamela Taylor,maryharris@example.org,0449 648 700,5G Mobile Plan,Premium,Physical SIM,Existing Account,0,None,482,57.14.157.101,0
2024-08-01,Ms. Kelly Russell,tammy13@example.org,(03)29133723,5G Mobile Plan,Essential,Physical SIM,Existing Account,1,None,224,48.95.43.85,0
2025-02-26,Steven Spence,blakemartinez@example.net,0425-615-124,5G Mobile Plan,Basic,Physical SIM,Existing Account,2,None,413,201.140.30.62,0
2026-05-04,Timothy Mcgrath,annamorales@example.org,(02)33433312,5G Mobile Plan,Premium,eSIM via App,Existing Account,1,None,500,163.222.93.234,0
2026-04-30,Kimberly Chapman,jerrysilva@example.org,07.4792.1304,5G Mobile Plan,Basic,Physical SIM,Existing Account,0,None,491,85.170.84.222,0
2025-05-03,Victor Morgan,jochoa@example.net,1043-0070,5G Mobile Plan,Essential,Physical SIM,Existing Account,2,None,446,31.89.63.96,0
2025-03-10,Theresa Palmer,shannoncopeland@example.net,+61 8 0097 5226,5G Mobile Plan,Essential,Physical SIM,New Unrecognized Account,0,None,577,96.71.79.35,0
2024-04-08,Benjamin Brown,freemananthony@example.net,+61.487.166.360,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,0,None,479,14.173.94.66,0
2024-11-02,Janice Rocha MD,qroberts@example.net,+61701023474,NBN Fixed Internet,NBN Standard,Physical SIM,New Unrecognized Account,2,None,249,159.64.241.54,0
2025-09-03,Amanda Thompson,leenicholas@example.org,+61 3 0568 9437,5G Mobile Plan,Basic,eSIM via App,Existing Account,2,None,406,42.185.150.108,0
2024-04-18,Mark Romero II,territurner@example.com,2921-4775,5G Mobile Plan,Premium,eSIM via App,Existing Account,2,None,411,151.36.118.229,0
2024-10-26,Michael Douglas,amydaniels@example.net,0415.790.355,5G Mobile Plan,Essential,eSIM via App,New Unrecognized Account,0,None,318,68.52.67.244,0
2025-10-28,Angela Mcclain,nicole80@example.org,+61255473767,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,1,None,464,201.28.234.250,0
2024-06-12,Michelle Valencia,edward78@example.net,0467 145 647,5G Mobile Plan,Basic,eSIM via App,Existing Account,0,None,511,26.109.150.223,0
2025-08-29,Melissa Hernandez,victoriamorgan@example.net,+61 2 0605 8357,5G Mobile Plan,Premium,eSIM via App,Existing Account,0,None,60,1.54.8.251,0
2024-08-22,Reginald White,zwilliams@example.com,41672104,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,1,None,172,81.210.137.124,0
2025-05-19,David Lopez,michelle90@example.net,+61-453-229-310,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,2,None,409,38.62.165.16,0
2024-04-27,Deborah Rosales,michaelyates@example.net,0423-949-333,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,2,None,93,134.7.5.123,0
2025-05-07,Allison Green,richardsoncassandra@example.com,+61840221775,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,2,None,403,59.39.155.79,0
2025-05-24,Christian Dunlap,colemichele@example.com,03-2253-1837,5G Mobile Plan,Essential,Physical SIM,Existing Account,0,None,446,218.97.44.103,0
2024-06-11,Jennifer Simmons MD,osoto@example.com,+61 8 3392 7008,5G Mobile Plan,Basic,eSIM via App,New Unrecognized Account,2,None,517,81.163.158.21,0
2024-04-17,Shelia Humphrey,garciarebecca@example.com,(07)-9924-1960,5G Mobile Plan,Premium,Physical SIM,Existing Account,0,None,455,51.188.161.188,0
2026-07-26,Dennis Richardson,jamiesnyder@example.com,(07).9016.6869,5G Mobile Plan,Essential,Physical SIM,New Unrecognized Account,1,None,380,16.151.116.211,0
2025-10-19,Robin Andrews,richardsonkirsten@example.org,+61-8-7444-1313,5G Mobile Plan,Premium,Physical SIM,Existing Account,1,None,187,42.30.12.95,0
2024-01-07,Nathan Thompson MD,brandon08@example.org,07.5095.3260,5G Mobile Plan,Premium,eSIM via App,Existing Account,2,None,67,152.110.152.117,0
2024-03-05,Jeanette Garza,pbrady@example.org,+61 442 897 928,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,0,None,106,22.156.192.43,0
2026-03-19,Rebecca Paul,lauragarcia@example.net,0339695455,5G Mobile Plan,Premium,eSIM via App,New Unrecognized Account,2,None,582,136.71.236.78,0
2025-07-09,Colton Park,campbelltiffany@example.net,+61223190666,5G Mobile Plan,Essential,Physical SIM,New Unrecognized Account,1,None,530,191.204.61.69,0
2025-11-14,Ashley Andrews,wendycortez@example.org,0815647277,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,0,None,263,191.208.204.212,0
2024-01-04,Kristen Osborne,pattersondanielle@example.com,0448 204 352,5G Mobile Plan,Basic,Physical SIM,New Unrecognized Account,0,None,338,165.232.106.132,0
2024-05-02,Jeffrey Morton,elizabethgilbert@example.net,+61 2 7409 5470,5G Mobile Plan,Essential,Physical SIM,Existing Account,0,None,74,212.8.164.166,0
2025-02-25,Diana Torres,allenangela@example.net,03 4343 9541,5G Mobile Plan,Basic,Physical SIM,Existing Account,0,None,381,169.107.99.164,0
2025-03-10,Jennifer Decker,amanda29@example.net,(03).0085.1564,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,1,None,579,110.158.129.190,0
